Rank,Change,Track,Song ID,Artists,Internal Link,External Link,Label,Release Date,All Time Rank,Video Count,All-Time Video Count,Peak Position,Peak Date,Weeks on Chart,7-Day Velocity,ISRC
103,-7,Vegas (I Wanna Ride),S8305,Joseline Hernandez,/track?id=69596777,https://www.tiktok.com/music/Vegas-I-Wanna-Ride-7042544889816418305,GS Entertainment Inc,"Dec 16, 2021",45,47K,1.2M,15,"Apr 30, 2022",11,-1.00,QMVHD2100009
104,-6,I Like,S3985,Guy,/track?id=15535958,https://www.tiktok.com/music/I-Like-6917464269244073985,Universal Music Division Barclay,"Sep 2, 2019",8,47K,3.4M,2,"Apr 16, 2022",15,-0.86,USMC18825792
105,-13,Shake Senora (feat. T-Pain & Sean Paul),S7158,"Pitbull, T-Pain, Sean Paul",/track?id=15441326,https://www.tiktok.com/music/Shake-Senora-feat-T-Pain-Sean-Paul-6948155699897617158,Mr.305/Polo Grounds Music/J Records,"Aug 16, 2019",70,46K,608K,27,"May 28, 2022",8,-1.86,USJAY1100093
106,-37,20 Year,S0242,Cartel DaDon,/track?id=83305626,https://www.tiktok.com/music/20-Year-7080864786775050242,Blow A Bagg Ent.,"Mar 29, 2022",142,46K,178K,69,"Jun 18, 2022",3,-5.29,QZES82286651
107,-18,Running Up That Hill (A Deal With God) [2018 Remaster],,Kate Bush,/track?id=22007705,https://www.tiktok.com/music/null,Rhino,"Nov 3, 2019",135,46K,203K,76,"Jul 9, 2022",9,-2.57,GBAYE1800884
108,-8,23 Librae B,,,,https://www.tiktok.com/music/null,,"Jun 6, 2022",169,46K,107K,100,"Jun 18, 2022",6,-1.14,QZK6P2250314
109,-37,Fame,S1026,Irene Cara,/track?id=15574609,https://www.tiktok.com/music/Fame-7008336658852481026,Voice productions,"Aug 19, 2019",153,46K,138K,72,"Jun 18, 2022",3,-5.29,USNLR1200531
110,-16,So Silly (Remix),S7489,"Koto., TisaKorean",/track?id=83300119,https://www.tiktok.com/music/So-Silly-Remix-7102383334173247489,Current Music Services,"May 26, 2022",119,46K,239K,57,"Jun 11, 2022",6,-2.29,QM24S2202513
111,-4,Spongebob Tomfoolery - Dante9k Remix,S9937,Dante9k,/track?id=32023663,https://www.tiktok.com/music/Spongebob-Tomfoolery-Dante9k-Remix-6787142837377959937,9K Entertainment,"Jan 27, 2020",4,45K,6.6M,8,"Jul 31, 2021",65,-0.57,QZFYZ2047242
112,0,Sleazy Flow - Remix,S2210,"SleazyWorld Go, Lil Baby",/track?id=83237797,https://www.tiktok.com/music/Sleazy-Flow-Remix-7101115754778462210,SleazyWorld / Island Records,"May 23, 2022",145,44K,165K,112,"Jun 18, 2022",6,0.00,USUG12202987
113,-42,Juicy Fruit,,Mtume,/track?id=15812595,https://www.tiktok.com/music/null,Epic,"Aug 16, 2019",118,44K,243K,59,"Jun 11, 2022",5,-6.00,USSM18300593
114,4,Woah (feat. D3Mstreet),S6038,"KRYPTO9095, D3Mstreet",/track?id=22809467,https://www.tiktok.com/music/Woah-6691366574592396038,KSG Records,"Aug 27, 2019",9,43K,3.2M,114,"Jun 25, 2022",3,0.57,QZDA41998629
115,4,TWINNEM - Remix,,"Coi Leray, DaBaby",/track?id=66140229,https://www.tiktok.com/music/null,Republic Records,"Nov 8, 2021",29,43K,2M,13,"Nov 27, 2021",24,0.57,USUM72121129
116,-11,First Class,S0642,Jack Harlow,/track?id=79456616,https://www.tiktok.com/music/First-Class-7084006982138480642,Generation Now/Atlantic,"Apr 6, 2022",32,42K,1.9M,11,"Apr 16, 2022",16,-1.57,USAT22203024
117,5,TWINNEM - Remix,,"Coi Leray, DaBaby",/track?id=66398249,https://www.tiktok.com/music/null,Republic Records,"Nov 10, 2021",137,42K,198K,90,"Jul 9, 2022",8,0.71,USUM72121491
118,New,My Way,S4273,Queen Key,/track?id=19106289,https://www.tiktok.com/music/My-Way-7192109148342454273,Machine Entertainment Group,"Apr 14, 2021",168,42K,109K,68,"Jul 2, 2022",4,,QZ57A1804101
119,6,Second Life,,,,https://www.tiktok.com/music/null,,"May 23, 2022",164,42K,118K,83,"Jul 2, 2022",7,0.86,GBRKQ2211033
120,-52,Angeleyes,S1537,ABBA,/track?id=14038418,https://www.tiktok.com/music/Abba-6799762760545601537,Polar Music International AB,"Nov 28, 2019",109,41K,289K,29,"Jun 11, 2022",4,-7.43,SEAYD7901040
121,New,My Way - Remix,,"Queen Key, G Herbo",/track?id=21820582,https://www.tiktok.com/music/null,Machine Entertainment Group,"Apr 14, 2021",162,41K,124K,70,"Jul 2, 2022",4,,QZ57A1804117
122,-47,The After 6 Mix (Juicy Fruit Part II) aka Juicy Fruit Part II (Reprise),,Mtume,/track?id=30635355,https://www.tiktok.com/music/null,Legacy Recordings,"Aug 17, 2019",127,41K,218K,71,"Jun 11, 2022",4,-6.71,USSM10802326
123,19,Cochinae mix,,DJ JCOSIO,/track?id=83876657,https://www.tiktok.com/music/null,JCOSIO MUSIC,"Jun 2, 2022",167,41K,111K,123,"Jun 25, 2022",7,2.71,QZK6P2239679
124,-46,Juicy Fruit,,Mtume,/track?id=15812595,https://www.tiktok.com/music/null,Epic,"Aug 17, 2019",129,41K,215K,74,"Jun 11, 2022",4,-6.57,USSM18300593
125,11,Hrs and Hrs,S4866,Muni Long,/track?id=66959718,https://www.tiktok.com/music/Hrs-and-Hrs-7037059536640804866,"Supergiant Records, LLC / Def Jam Recordings","Oct 26, 2021",46,40K,1.2M,41,"Feb 11, 2023",23,1.57,QZAKB2136210
126,-6,She Share Story,,,,https://www.tiktok.com/music/null,,"Oct 22, 2019",16,40K,2.7M,112,"Jul 23, 2022",41,-0.86,
127,-16,16 Cygni Bb,,,,https://www.tiktok.com/music/null,,"Jun 6, 2022",175,40K,93K,111,"Jun 18, 2022",4,-2.29,QZK6P2250313
128,-5,While,,,,https://www.tiktok.com/music/null,,"May 5, 2022",77,40K,501K,42,"May 14, 2022",9,-0.71,USLZJ2283910
