Rank,Change,User Link,Video Link,Track,Artists,Internal Link,External Link,Views,7-Day View change,Likes,Number of Comments,Peak Position,Peak Date,7-Day Velocity,Days on Chart,ISRC
62,New,https://www.tiktok.com/rocco.bakery,https://www.tiktok.com/rocco.bakery/video/6938158560186518789,Aesthetic,Xilo,/track?id=28796568,https://www.tiktok.com/music/Aesthetic-6791619226181306369,3.4M,0,319.1K,392,62,"Mar 11, 2021",,2,QZFZ22071847
63,1555,https://www.tiktok.com/monopol.group,https://www.tiktok.com/monopol.group/video/6937911192123870470,Astronaut In The Ocean,Masked Wolf,/track?id=23902934,https://www.tiktok.com/music/Astronaut-In-The-Ocean-6816496693551450885,3.2M,0,196.4K,1.1K,63,"Mar 11, 2021",,26,AUFXV1900105
64,143,https://www.tiktok.com/_sg_soccer,https://www.tiktok.com/_sg_soccer/video/6932069247573036294,Laxed – Siren Beat,Jawsh 685,/track?id=29203381,https://www.tiktok.com/music/Laxed-6822029875927353345,80.2M,0,4.9M,20.5K,1,"Feb 23, 2021",6.14,104,NZAM02001128
65,New,https://www.tiktok.com/itsdanielmac,https://www.tiktok.com/itsdanielmac/video/6938069564253162758,"3, 2, 1",24kGoldn,/track?id=32879386,https://www.tiktok.com/music/3-2-1-6929964094535501826,4.8M,0,745.3K,1.8K,65,"Mar 11, 2021",,27,USQX92100200
66,New,https://www.tiktok.com/lizzo,https://www.tiktok.com/lizzo/video/6938119902314138885,Triple S,"YN Jay, Louie Ray",/track?id=31417816,https://www.tiktok.com/music/Triple-S-6872482756727670785,4.5M,0,1.1M,5.9K,66,"Mar 11, 2021",,1,QZK6H2020720
67,New,https://www.tiktok.com/bwian,https://www.tiktok.com/bwian/video/6935568907310812421,Day 'N' Nite - Radio Edit,"Kid Cudi, Crookers",/track?id=12635346,https://www.tiktok.com/music/DayNNite-nightmare-6876131097164450566,21.3M,0,4M,120.5K,67,"Mar 11, 2021",,1,GBCEN0801462
68,New,https://www.tiktok.com/sebasbimbi,https://www.tiktok.com/sebasbimbi/video/6938151101950741766,In The End,"Tommee Profitt, Fleurie, Jung Youth",/track?id=18965480,https://www.tiktok.com/music/In-The-End-Mellen-Gi-Remix-6611368749150767874,2.8M,0,255.8K,1.4K,68,"Mar 11, 2021",,1,TCADO1871408
69,New,https://www.tiktok.com/zulushi,https://www.tiktok.com/zulushi/video/6938164030649568518,Drip,Klondike Blonde,/track?id=18355449,https://www.tiktok.com/music/Drip-6701993629444999169,2.8M,0,370.9K,4K,69,"Mar 11, 2021",,6,QMDA61831905
70,New,https://www.tiktok.com/cooleyandsarah,https://www.tiktok.com/cooleyandsarah/video/6938094283404659973,Caution,KAYTRANADA,/track?id=32870431,https://www.tiktok.com/music/Caution-6929628989015197698,3.7M,0,662.4K,5.6K,70,"Mar 11, 2021",,5,USRC12100352
71,193,https://www.tiktok.com/ricecowboy,https://www.tiktok.com/ricecowboy/video/6935536179399953670,Lonely (with benny blanco),"Justin Bieber, benny blanco",/track?id=31667714,https://www.tiktok.com/music/Lonely-6883993546467051522,55.6M,0,6.6M,58.5K,7,"Mar 6, 2021",,124,USUM72019037
72,New,https://www.tiktok.com/bellapoarch,https://www.tiktok.com/bellapoarch/video/6938083117127290118,Slumber Party (feat. Princess Nokia),"Ashnikko, Princess Nokia",/track?id=32551321,https://www.tiktok.com/music/Slumber-Party-feat-Princess-Nokia-6916911446181808129,4.8M,0,809.9K,12.6K,72,"Mar 11, 2021",,76,GBAYE2000706
