Rank,Change,Country,Artist,Monthly Listeners,Weekly Listeners Change,Internal Link,Peak Position,Peak Date,Weeks on Chart,Current Weekly Streak
32,-11,United States,Southside,4.7M,967961,/artist?id=881005,5,"Apr 28, 2022",10,3
33,16,Sweden,Zara Larsson,23M,947929,/artist?id=4441,4,"Apr 2, 2020",21,3
34,0,United States,Taylor Swift,85M,939598,/artist?id=2762,1,"Nov 18, 2021",47,1
35,-23,Korea,HA SUNG WOON,2.3M,923017,/artist?id=1395195,12,"May 5, 2022",4,3
36,0,Korea,LE SSERAFIM,9.1M,909987,/artist?id=9149614,36,"May 12, 2022",1,1
37,-7,India,Ananya Bhat,3.8M,857854,/artist?id=629004,14,"Apr 28, 2022",4,4
38,28,Pakistan,Ali Sethi,5M,814502,/artist?id=296934,38,"May 12, 2022",12,11
39,-11,United States,Panic! At The Disco,23M,798661,/artist?id=2260,28,"May 5, 2022",24,5
40,0,Italy,Ultimo,2.5M,751087,/artist?id=662621,40,"May 12, 2022",12,1
41,-30,Argentina,Bizarrap,50M,718582,/artist?id=648982,11,"May 5, 2022",44,2
42,-23,Canada,Lauren Spencer Smith,6.7M,716190,/artist?id=1525222,4,"Jan 13, 2022",15,4
43,-3,Colombia,Nobeat,1.2M,712463,/artist?id=1033517,39,"Apr 28, 2022",11,6
44,0,Ireland,Dermot Kennedy,14M,699401,/artist?id=206846,12,"Jan 14, 2021",35,1
45,14,India,Amitabh Bhattacharya,19M,696884,/artist?id=172987,45,"May 12, 2022",9,4
46,-7,India,Ravi Basrur,4.9M,695307,/artist?id=629000,21,"Apr 28, 2022",8,7
47,47,India,Pritam,28M,692468,/artist?id=127583,47,"May 12, 2022",58,3
48,17,Unknown,Shae Gill,4.8M,687211,/artist?id=8435107,48,"May 12, 2022",12,12
49,240,Unknown,Suki Waterhouse,5.3M,687096,/artist?id=213456,49,"May 12, 2022",2,2
50,-34,United Kingdom,Sam Smith,62M,679549,/artist?id=3176,7,"Feb 20, 2020",46,2
51,18,Puerto Rico,Mora,19M,674397,/artist?id=815149,7,"Jul 15, 2021",44,5
52,-11,Argentina,Oscu,2.3M,670210,/artist?id=1405427,41,"May 5, 2022",14,5
53,0,Sweden,Tove Lo,16M,659246,/artist?id=4363,13,"Feb 11, 2021",40,1
54,22,United States,Stephen Sanchez,34M,648500,/artist?id=3763237,54,"May 12, 2022",12,4
55,53,United Kingdom,Miggy Dela Rosa,11M,642101,/artist?id=802564,55,"May 12, 2022",8,8
56,-5,Unknown,MC Tairon,3.3M,641852,/artist?id=4497237,51,"May 5, 2022",5,5
57,102,Unknown,Mc Pepeu,1.5M,637339,/artist?id=3791958,57,"May 12, 2022",12,2
58,-40,Unknown,DJ ABDO,990K,627934,/artist?id=4549239,18,"May 5, 2022",3,3
59,0,Unknown,Manish Dinakar,883K,618208,/artist?id=8451620,51,"Apr 28, 2022",3,1
60,450,Canada,Carly Rae Jepsen,16M,611385,/artist?id=3397,33,"May 28, 2020",38,2
61,356,India,Neeraj Shridhar,8.2M,598891,/artist?id=306217,61,"May 12, 2022",4,2
62,362,Unknown,Madeline The Person,1.1M,597187,/artist?id=4358787,62,"May 12, 2022",2,2
63,-17,Unknown,BYOR,9.4M,593704,/artist?id=37180,46,"May 5, 2022",14,12
64,203,Unknown,DJ Swat,1.7M,585649,/artist?id=3799148,64,"May 12, 2022",17,3
65,2,Unknown,Mc Delux,4M,583259,/artist?id=854526,65,"May 12, 2022",14,3
66,0,United States,A$AP Rocky,25M,581394,/artist?id=4015,16,"Nov 4, 2021",46,1
67,31,Ireland,Orla Gartland,943K,580414,/artist?id=232479,67,"May 12, 2022",5,3
68,21,Brazil,Papatinho,2.9M,579809,/artist?id=896397,68,"May 12, 2022",4,4
69,46,Sweden,Alesso,20M,573263,/artist?id=3894,12,"Jan 6, 2022",33,3
70,-38,United States,anees,2.1M,572481,/artist?id=3637775,25,"Apr 28, 2022",5,5
71,-46,Brazil,Os Hawaianos,1M,572250,/artist?id=484032,6,"Apr 21, 2022",6,6
72,-38,Unknown,Dougie B,1.3M,518976,/artist?id=4410793,27,"Apr 21, 2022",4,4
73,-28,United States,Cafuné,5.5M,517680,/artist?id=209060,45,"May 5, 2022",6,6
74,11,Mexico,Kevin Kaarl,7.4M,517672,/artist?id=1384740,58,"Apr 21, 2022",23,8
75,61,Germany,Engelbert Humperdinck,2.5M,515718,/artist?id=76497,75,"May 12, 2022",6,6
76,-38,Unknown,Dj Win,3.2M,513397,/artist?id=4352360,38,"May 5, 2022",5,5
77,174,Canada,Arcade Fire,4.1M,512340,/artist?id=2014,61,"Mar 24, 2022",9,2
78,41,Germany,Ion Miles,1.9M,507463,/artist?id=820048,78,"May 12, 2022",7,3
79,-24,Colombia,Ryan Castro,13M,506450,/artist?id=1045417,28,"Feb 3, 2022",39,31
80,417,United States,Marca MP,8.2M,504244,/artist?id=1530639,21,"Mar 19, 2020",33,2
81,0,United States,DannyLux,3.5M,500002,/artist?id=3898730,81,"May 12, 2022",1,1
82,-7,United States,YG,12M,496654,/artist?id=4252,35,"Jun 11, 2020",40,4
83,-61,Unknown,DJ Bel da CDD,852K,496480,/artist?id=6997024,9,"Apr 21, 2022",4,4
84,-41,Unknown,Dxrk ダーク,7.2M,492990,/artist?id=6405704,43,"May 5, 2022",5,5
85,-12,Brazil,MC Kevin o Chris,8.9M,483214,/artist?id=1154586,62,"May 13, 2021",19,4
86,443,India,Arijit Singh,30M,470162,/artist?id=303406,86,"May 12, 2022",66,2
87,161,Unknown,Benzz,3.2M,468145,/artist?id=9069220,87,"May 12, 2022",2,2
88,-71,United States,EST Gee,6M,465285,/artist?id=1632816,12,"Mar 11, 2021",20,7
89,0,United States,Eslabon Armado,19M,462824,/artist?id=3448148,55,"Sep 16, 2021",33,1
90,223,Germany,Luciano,7.9M,462114,/artist?id=209090,90,"May 12, 2022",32,2
91,26,United Kingdom,Nathan Dawe,7.8M,459139,/artist?id=1086645,55,"Aug 6, 2020",36,2
92,0,India,Puneeth Rudranag,1.3M,458258,/artist?id=1424963,54,"Apr 21, 2022",6,1
93,0,Mexico,Michelle Maciel,1.1M,456246,/artist?id=3618106,93,"May 12, 2022",1,1
94,24,Unknown,Sandesh Datta Naik,578K,447232,/artist?id=8827561,94,"May 12, 2022",4,4
95,0,Germany,Robin Schulz,30M,442887,/artist?id=219893,22,"Jan 7, 2021",48,1
96,-52,Puerto Rico,Daddy Yankee,50M,441370,/artist?id=1802,6,"Mar 31, 2022",49,14
97,-17,Unknown,Homero Guerrero y Lupe Tijerina,2M,440125,/artist?id=239962,36,"Apr 28, 2022",4,4
98,-35,India,Badshah,13M,439186,/artist?id=66843,27,"Apr 28, 2022",43,3
99,75,Unknown,dazy,14M,427426,/artist?id=8099351,93,"Jan 20, 2022",13,5
100,119,India,Mohan Krishna,1.5M,426661,/artist?id=1416604,38,"Apr 21, 2022",7,7
101,0,Unknown,Malice,0,426626,/artist?id=1052663,45,"Apr 28, 2022",2,1
102,0,United States,Sam DeRosa,116K,422445,/artist?id=398201,102,"May 12, 2022",1,1
103,-17,Unknown,Mohan Kannan,0,418113,/artist?id=1415180,86,"May 5, 2022",2,2
104,38,United States,Nicky Youre,16M,417702,/artist?id=3731621,91,"Jan 20, 2022",18,7
105,-35,United States,Khalid,53M,416853,/artist?id=209693,10,"Apr 1, 2021",40,4
106,-6,United States,Elley Duhé,26M,416852,/artist?id=215318,9,"Mar 17, 2022",34,26
107,-50,Unknown,Kay Flock,3.1M,416264,/artist?id=4261712,15,"Oct 28, 2021",8,4
108,0,India,Tanishk Bagchi,19M,415552,/artist?id=388884,59,"Aug 26, 2021",46,1
109,0,United States,Andy Grammer,9.8M,412001,/artist?id=3803,59,"Apr 15, 2021",39,1
110,-81,United States,Deorro,7.9M,410115,/artist?id=4320,29,"May 5, 2022",24,2
111,0,United States,ERRE,638K,407180,/artist?id=4279910,111,"May 12, 2022",1,1
112,215,Unknown,Tainy,22M,406719,/artist?id=471864,1,"Aug 26, 2021",33,3
113,-55,United States,Ava Max,30M,406494,/artist?id=717113,8,"Jan 9, 2020",60,2
114,0,United States,Sarah Silva,0,403702,/artist?id=872436,114,"May 12, 2022",1,1
115,6,Germany,BHZ,2.6M,403337,/artist?id=222804,115,"May 12, 2022",11,3
116,-21,United Kingdom,James Hype,13M,397806,/artist?id=631487,95,"May 5, 2022",18,7
117,73,Unknown,King Savagge,3.5M,397474,/artist?id=1735433,117,"May 12, 2022",7,2
118,79,Chile,Julianno Sosa,3M,396965,/artist?id=1424691,118,"May 12, 2022",10,2
119,126,Italy,HÄWK,1.5M,395888,/artist?id=1441241,119,"May 12, 2022",15,3
120,-59,Australia,The Kid LAROI,37M,392871,/artist?id=1333786,2,"Jul 29, 2021",59,3
121,253,Mexico,Junior H,20M,392757,/artist?id=1407665,121,"May 12, 2022",39,5
122,0,United States,Hotel Ugly,15M,389474,/artist?id=3593404,122,"May 12, 2022",1,1
123,34,Unknown,Santhosh Venky,1.8M,388061,/artist?id=614140,46,"Apr 21, 2022",7,7
124,25,Norway,Sigrid,2.8M,381897,/artist?id=538222,64,"Jun 3, 2021",18,3
125,0,United States,42 Dugg,8.8M,372575,/artist?id=924438,9,"Jul 1, 2021",40,1
126,-62,Chile,Cris Mj,19M,368898,/artist?id=3626425,3,"Mar 17, 2022",20,12
127,-77,Brazil,L7NNON,10M,368749,/artist?id=1027434,23,"Apr 28, 2022",6,5
128,0,Argentina,Omar Varela,5.7M,366323,/artist?id=525292,47,"Mar 25, 2021",18,1
129,154,United States,The Goo Goo Dolls,13M,364974,/artist?id=186457,129,"May 12, 2022",19,7
130,451,United States,AViVA,1.9M,363451,/artist?id=303889,130,"May 12, 2022",2,2
131,-69,United States,Pooh Shiesty,4.8M,360245,/artist?id=1529035,9,"Aug 12, 2021",27,2
132,105,United States,Morgan Wallen,24M,356661,/artist?id=212715,32,"Jan 14, 2021",45,4
133,-49,Kazakhstan,Imanbek,19M,355579,/artist?id=1723660,3,"Apr 16, 2020",54,5
134,295,Unknown,Kezia,313K,353438,/artist?id=7512857,134,"May 12, 2022",2,2
135,0,United Kingdom,Ella Mai,7.8M,353068,/artist?id=5490,40,"Oct 8, 2020",12,1
136,-57,Brazil,MC Braz,2.3M,342579,/artist?id=1093641,79,"May 5, 2022",15,4
137,0,United Kingdom,Maisie Peters,4.3M,340188,/artist?id=727522,100,"May 13, 2021",23,1
138,766,United States,Babyface Ray,2.5M,339465,/artist?id=521579,137,"Sep 2, 2021",10,2
139,0,Unknown,Lucerina,256K,337571,/artist?id=8210050,139,"May 12, 2022",1,1
140,391,Unknown,Fuerza Regida,20M,335829,/artist?id=863940,140,"May 12, 2022",16,5
141,0,United Kingdom,Peter Gabriel,5.8M,329937,/artist?id=309,141,"May 12, 2022",4,1
142,-71,United Kingdom,Shaun Farrugia,505K,326260,/artist?id=9031756,71,"May 5, 2022",3,3
143,0,United States,Blacc Zacc,96K,326173,/artist?id=163080,143,"May 12, 2022",7,1
144,0,United States,DNCE,11M,325719,/artist?id=5332,3,"Mar 3, 2022",23,1
145,-98,Unknown,Adithi Sagar,528K,324830,/artist?id=3939741,47,"May 5, 2022",2,2
146,270,United States,Zach Bryan,14M,323555,/artist?id=1705209,146,"May 12, 2022",11,4
147,-33,Unknown,SleazyWorld Go,3.4M,322652,/artist?id=3883672,114,"May 5, 2022",7,3
148,-88,United States,Aaron Smith,6.3M,322301,/artist?id=1847,60,"May 5, 2022",9,3
149,-61,Unknown,Robinson,1.4M,317304,/artist?id=6273385,36,"Mar 24, 2022",7,3
150,-15,Jamaica,Rvssian,11M,317062,/artist?id=214112,15,"Oct 7, 2021",27,3
151,0,Unknown,Bluefire,0,316056,/artist?id=37956,151,"May 12, 2022",1,1
152,-74,United Kingdom,George Ezra,18M,313465,/artist?id=4572,73,"Apr 28, 2022",33,8
153,-46,United States,Zac Brown,917K,312290,/artist?id=826528,52,"Jun 4, 2020",8,2
154,109,United States,Ricky Montgomery,6.6M,311623,/artist?id=41976,92,"Jan 21, 2021",34,2
155,0,France,Feder,1.6M,310749,/artist?id=5202,127,"Jul 15, 2021",8,1
156,0,Unknown,Bluewerks,394K,309875,/artist?id=4284092,147,"Mar 25, 2021",6,1
157,222,Unknown,gazzzy,85,309735,/artist?id=6447262,157,"May 12, 2022",9,2
158,-71,Brazil,Zé Ricardo & Thiago,339K,309126,/artist?id=207533,87,"May 5, 2022",6,2
159,0,Spain,Rels B,17M,308453,/artist?id=149609,30,"Aug 5, 2021",31,1
160,0,India,Neha Kakkar,14M,307859,/artist?id=450003,160,"May 12, 2022",46,1
161,0,Korea,DPR LIVE,1.8M,303628,/artist?id=526335,161,"May 12, 2022",7,1
162,0,United States,Aly & AJ,2.5M,303611,/artist?id=213391,83,"Jan 7, 2021",18,1
163,199,Zimbabwe,S1mba,3.6M,303407,/artist?id=1092969,14,"May 28, 2020",19,2
164,0,United Kingdom,YUNGBLUD,7.1M,302618,/artist?id=558951,20,"Mar 18, 2021",30,1
165,182,Unknown,Funk Wav,7.6M,298889,/artist?id=3764669,10,"Jul 23, 2020",19,5
166,0,Canada,Arbour,464K,298663,/artist?id=470038,166,"May 12, 2022",15,1
167,667,United States,Midland,2.4M,297310,/artist?id=212723,167,"May 12, 2022",6,3
168,0,United States,JVKE,28M,294395,/artist?id=3891033,23,"Jan 14, 2021",34,1
169,0,Unknown,Ivan Cornejo,6.6M,293453,/artist?id=4006437,22,"Oct 21, 2021",7,1
170,-31,France,Indila,6.2M,291662,/artist?id=21326,139,"May 5, 2022",4,3
171,-78,Canada,Ikky,6.2M,290646,/artist?id=5676520,53,"Apr 21, 2022",5,4
172,38,India,Sunidhi Chauhan,14M,289052,/artist?id=246975,172,"May 12, 2022",6,2
173,36,Sweden,ABBA,26M,289036,/artist?id=227,12,"Jan 7, 2021",52,7
174,-9,India,Diljit Dosanjh,8.7M,288582,/artist?id=146544,165,"May 5, 2022",31,4
175,539,Unknown,Mitraz,3.2M,288282,/artist?id=3403382,175,"May 12, 2022",3,3
176,0,Argentina,Luck Ra,5.3M,287558,/artist?id=865697,176,"May 12, 2022",6,1
177,36,United Kingdom,Queen,46M,283645,/artist?id=72,6,"Jan 2, 2020",54,8
178,198,United States,Tay Keith,840K,282512,/artist?id=1058043,66,"Apr 28, 2022",4,3
179,0,Netherlands,Sam Feldt,13M,282433,/artist?id=5020,57,"Apr 2, 2020",34,1
180,0,Germany,Dieter Bohlen,476K,282143,/artist?id=455331,47,"Aug 6, 2020",9,1
181,0,Unknown,Shapov,583K,281242,/artist?id=201783,181,"May 12, 2022",2,1
182,26,India,A.R. Rahman,26M,279843,/artist?id=117789,96,"Jul 30, 2020",58,4
183,0,United States,Rotimi,3M,279456,/artist?id=128304,183,"May 12, 2022",17,1
184,-37,Japan,Gen Hoshino,2.3M,277716,/artist?id=602189,139,"Apr 28, 2022",16,5
185,0,Unknown,Mya,16K,277309,/artist?id=271715,185,"May 12, 2022",1,1
186,808,United Kingdom,Ed Sheeran,83M,272700,/artist?id=3648,2,"Jul 8, 2021",49,2
187,136,United States,Young Scooter,491K,272627,/artist?id=211437,187,"May 12, 2022",2,2
188,264,India,Vishal-Shekhar,20M,272252,/artist?id=211724,188,"May 12, 2022",40,2
189,-92,Sweden,Swedish House Mafia,22M,271557,/artist?id=3643,2,"Nov 4, 2021",35,4
190,-87,Canada,Tory Lanez,21M,270857,/artist?id=4234,4,"Jul 2, 2020",35,5
191,-117,United States,Steve Aoki,21M,270813,/artist?id=3085,24,"Jan 23, 2020",34,3
192,-11,Unknown,Semicenk,4.6M,270600,/artist?id=6891454,181,"May 5, 2022",8,4
193,35,Poland,MYLØ,838K,270267,/artist?id=3675070,193,"May 12, 2022",3,3
194,0,United Kingdom,Jonas Blue,20M,269045,/artist?id=5463,30,"Jan 13, 2022",32,1
195,11,India,Sachin Basrur,1.3M,267874,/artist?id=838835,89,"Apr 21, 2022",8,8
196,0,Puerto Rico,Jone Quest,1.8M,267756,/artist?id=1536815,42,"May 28, 2020",14,1
197,0,Netherlands,Dardan,4.9M,267312,/artist?id=607817,188,"Aug 12, 2021",25,1
198,-115,Dominican Republic,Tokischa,7.1M,267223,/artist?id=1134110,15,"Sep 16, 2021",10,2
199,224,Spain,Pure Negga,1.6M,267213,/artist?id=1127342,199,"May 12, 2022",3,3
200,0,United States,Latto,11M,266420,/artist?id=241165,36,"Apr 7, 2022",52,1
201,95,Canada,Johnny Orlando,3M,266165,/artist?id=214276,126,"Apr 1, 2021",28,3
202,133,Italy,Sixpm,961K,265520,/artist?id=1461386,202,"May 12, 2022",6,5
203,0,United States,Ashe,10M,264957,/artist?id=213758,10,"Feb 27, 2020",34,1
204,-67,Unknown,Wonstein,988K,263917,/artist?id=740886,97,"Apr 28, 2022",4,4
205,0,United States,The Happy Fits,1.4M,263068,/artist?id=211191,205,"May 12, 2022",1,1
206,596,Philippines,mrld,4.1M,261182,/artist?id=3297145,206,"May 12, 2022",7,2
207,16,Unknown,Romero,766K,261137,/artist?id=5833923,207,"May 12, 2022",3,3
208,-62,France,Kungs,10M,258469,/artist?id=5728,57,"Aug 5, 2021",38,2
209,107,India,Neeti Mohan,12M,258279,/artist?id=227413,168,"Nov 11, 2021",28,3
210,155,India,Thoughtsfornow,806K,256513,/artist?id=3634782,181,"Apr 28, 2022",3,3
211,0,Unknown,House Gospel Choir,2.8M,256294,/artist?id=747591,92,"Aug 26, 2021",5,1
212,-202,United States,WILLOW,15M,255977,/artist?id=213393,3,"Apr 14, 2022",53,7
213,-165,Puerto Rico,Jotaerre,541K,255956,/artist?id=4446011,42,"Apr 28, 2022",5,5
214,79,Puerto Rico,Ñengo Flow,21M,255282,/artist?id=71733,6,"Mar 26, 2020",32,2
215,489,Mexico,Marco Antonio Solís,9.7M,254859,/artist?id=1169,215,"May 12, 2022",22,3
216,0,Unknown,LOUALLDAY,39K,254249,/artist?id=7815128,216,"May 12, 2022",1,1
217,251,India,Shreya Ghoshal,24M,251095,/artist?id=23385,144,"Aug 26, 2021",34,2
218,241,United States,Los Tigres Del Norte,9.1M,251013,/artist?id=208323,218,"May 12, 2022",22,3
219,136,Italy,Sfera Ebbasta,7.4M,250642,/artist?id=134682,2,"Mar 12, 2020",34,2
220,-50,United States,Conan Gray,23M,250339,/artist?id=562618,11,"Sep 17, 2020",57,5
221,34,United Kingdom,Alfie Templeman,1.6M,250211,/artist?id=812218,201,"Apr 28, 2022",18,3
222,0,Unknown,Yden,544K,249856,/artist?id=8423848,222,"May 12, 2022",2,1
223,-35,United States,midwxst,2.1M,248355,/artist?id=3731551,188,"May 5, 2022",4,2
224,-97,United States,Sofi Tukker,7.7M,248288,/artist?id=209368,49,"May 13, 2021",34,2
225,0,United States,mxmtoon,4.8M,248136,/artist?id=745592,82,"Jan 30, 2020",31,1
226,0,Puerto Rico,Lary Over,3.3M,247985,/artist?id=114674,226,"May 12, 2022",8,1
227,-94,United Kingdom,Baby Queen,495K,246276,/artist?id=3707418,133,"May 5, 2022",5,3
228,0,Unknown,Premixm,577K,246182,/artist?id=8463497,228,"May 12, 2022",2,1
229,0,India,Sachin-Jigar,15M,244869,/artist?id=117414,198,"Nov 11, 2021",31,1
230,-51,Canada,Majid Jordan,7.3M,244817,/artist?id=4620,85,"Oct 28, 2021",21,2
231,23,United Kingdom,goddard.,3.8M,243625,/artist?id=3748302,231,"May 12, 2022",7,7
232,0,United States,Logic,13M,243487,/artist?id=4389,9,"Jul 30, 2020",22,1
233,-110,United States,Hayley May,2M,243300,/artist?id=433764,107,"Feb 25, 2021",13,2
234,-181,Korea,IVE,7.7M,242710,/artist?id=8157684,36,"Apr 21, 2022",12,5
235,17,Mexico,La Humildad De La Musica Norteña,1.1M,242647,/artist?id=8172594,235,"May 12, 2022",2,2
236,0,Unknown,Vaish,418K,242612,/artist?id=7890451,236,"May 12, 2022",5,1
237,665,Mexico,La Adictiva,10M,242425,/artist?id=207633,237,"May 12, 2022",15,2
238,0,Unknown,Carbon Fiber Music,1.8M,242060,/artist?id=3720579,20,"Jul 16, 2020",6,1
239,0,Pakistan,Rahat Fateh Ali Khan,11M,241310,/artist?id=107330,239,"May 12, 2022",2,1
240,0,United States,Lil Wayne,33M,240928,/artist?id=1465,3,"Jan 13, 2022",52,1
241,107,United States,The Beatnuts,1.6M,240202,/artist?id=214422,241,"May 12, 2022",3,3
242,-98,Germany,Clueso,1.8M,240104,/artist?id=50794,51,"Jul 30, 2020",13,3
243,-144,Canada,KAYTRANADA,6.3M,236619,/artist?id=4563,20,"Apr 28, 2022",23,3
244,-94,United States,Melanie Martinez,18M,236095,/artist?id=4397,6,"May 28, 2020",36,4
245,0,United Kingdom,Knucks,3.1M,235813,/artist?id=572071,245,"May 12, 2022",10,1
246,0,Korea,iKON,2.5M,235403,/artist?id=5330,213,"Feb 13, 2020",8,1
247,41,Unknown,DJ TAK VADIÃO,2.4M,234855,/artist?id=4310600,247,"May 12, 2022",2,2
248,0,India,Tulsi Kumar,11M,233991,/artist?id=35325,248,"May 12, 2022",26,1
249,0,United States,Frawley,1.8M,233955,/artist?id=1468942,249,"May 12, 2022",3,1
250,0,Puerto Rico,Super Yei,4.5M,233209,/artist?id=559061,40,"Sep 3, 2020",25,1
251,-122,United States,Natanael Cano,20M,232850,/artist?id=1121094,118,"Apr 28, 2022",36,5
252,26,India,Shankar Mahadevan,15M,232627,/artist?id=97405,181,"Sep 16, 2021",21,3
253,97,Algeria,Soolking,5.9M,230834,/artist?id=216930,58,"Mar 26, 2020",28,4
254,14,United Kingdom,Paloma Faith,11M,230634,/artist?id=3421,116,"Mar 26, 2020",16,3
255,6,Puerto Rico,Ricky Martin,15M,230218,/artist?id=109,45,"Apr 22, 2021",37,4
256,-98,India,Anthony Daasan,3.1M,229893,/artist?id=116478,158,"May 5, 2022",3,3
257,-147,Canada,Shania Twain,14M,229866,/artist?id=244,110,"May 5, 2022",33,4
258,0,Unknown,Tenchi,650K,229453,/artist?id=6826025,258,"May 12, 2022",1,1
259,0,Unknown,Aishwarya Suresh Bindra,0,229158,/artist?id=4245917,259,"May 12, 2022",1,1
260,123,United States,Aaryan Shah,3M,228423,/artist?id=381958,260,"May 12, 2022",3,3
261,135,United Kingdom,Cat Burns,7.6M,228375,/artist?id=524443,20,"Mar 10, 2022",14,3
262,0,Venezuela,Sixto Rein,312K,228266,/artist?id=171094,262,"May 12, 2022",2,1
263,224,Unknown,Speed Radio,11M,227420,/artist?id=8870459,84,"Apr 7, 2022",6,6
264,0,United States,Nate Smith,5.1M,226470,/artist?id=3640044,67,"Aug 20, 2020",17,1
265,414,Germany,Sierra Kidd,4M,224018,/artist?id=36463,265,"May 12, 2022",10,2
266,-42,Germany,t-low,2.8M,223422,/artist?id=839791,130,"Mar 17, 2022",19,3
267,392,Unknown,Lofis,25K,223351,/artist?id=5121671,90,"Jun 3, 2021",5,2
268,172,Sweden,Olivia Lobato,704K,223148,/artist?id=3733555,268,"May 12, 2022",3,3
269,0,United Kingdom,Stormzy,9.3M,223143,/artist?id=4937,38,"Jul 15, 2021",23,1
270,298,Unknown,Suchetha Basrur,803K,222899,/artist?id=5610934,93,"Apr 28, 2022",4,4
271,0,United States,Shrimpnose,173K,222782,/artist?id=530524,271,"May 12, 2022",1,1
272,-106,Unknown,venbee,3.6M,222618,/artist?id=9031766,166,"May 5, 2022",3,3
273,0,United States,SiR,3.6M,222384,/artist?id=206732,51,"Jun 11, 2020",10,1
274,658,United States,Wrabel,3.8M,222018,/artist?id=207062,59,"Apr 30, 2020",22,3
275,-34,Unknown,Kiko el Crazy,1.3M,221681,/artist?id=236300,105,"Nov 12, 2020",18,2
276,50,United States,Lil Gnar,1.8M,221585,/artist?id=788518,57,"Oct 22, 2020",16,2
277,-42,Unknown,Dan Fable,628K,221186,/artist?id=3317245,235,"May 5, 2022",4,4
278,0,Nigeria,Fireboy DML,8.1M,219963,/artist?id=1359817,9,"Jan 6, 2022",23,1
279,0,France,Gros Mo,336K,219373,/artist?id=486479,279,"May 12, 2022",1,1
280,0,Pakistan,Atif Aslam,15M,218798,/artist?id=182016,189,"Oct 7, 2021",23,1
281,0,Unknown,Asan,1.3M,218718,/artist?id=5309488,281,"May 12, 2022",1,1
282,-157,United Kingdom,PinkPantheress,39M,217263,/artist?id=4241112,11,"Aug 19, 2021",32,3
283,-68,United Kingdom,Azteck,3.1M,217080,/artist?id=3582819,36,"Apr 29, 2021",11,2
284,-48,Mexico,Luis R Conriquez,15M,216920,/artist?id=890339,136,"Mar 17, 2022",21,5
285,0,India,H.S. Srinivasa Murthy,448K,216541,/artist?id=1416606,285,"May 12, 2022",3,1
